ASN,CH,DR
00.00000066,0,122
00.0000008a,0,214
00.000000a8,0,122
00.000000ab,0,61
00.000000b0,2,275
00.000000b9,2,31
00.000000bf,2,31
00.000000c5,2,31
00.000000c9,0,-183
00.000000d4,2,214
00.000000d6,1,-183
00.000000dd,2,183
00.000000df,1,-92
00.000000ea,0,0
00.000000f5,2,214
00.000000f7,1,-92
00.0000010b,0,61
00.0000010d,2,183
00.0000010f,1,-92
00.00000122,2,183
00.00000124,1,-92
00.0000012c,0,0
00.0000013a,2,214
00.0000013c,1,-92
00.0000014a,0,0
00.0000014f,2,214
00.00000151,1,-92
00.00000167,2,214
00.00000169,1,-92
00.0000016b,0,0
00.0000017c,2,214
00.0000017e,1,-92
00.0000018f,0,0
00.00000191,2,183
00.00000193,1,-92
00.000001a6,2,214
00.000001a8,1,-92
00.000001aa,0,0
00.000001bb,2,183
00.000001bd,1,-61
00.000001ce,0,0
00.000001d0,2,153
00.000001d2,1,0
00.000001d7,0,-61
00.000001e8,2,183
00.000001e9,0,-92
00.000001ea,1,0
00.000001fd,2,183
00.000001ff,1,0
00.00000201,0,-61
00.0000020f,2,183
00.00000211,1,0
00.00000222,0,0
00.00000227,2,92
00.00000229,1,0
00.0000023d,0,0
00.0000023f,2,122
00.00000241,1,0
00.00000254,2,122
00.00000256,1,0
00.0000025e,0,0
00.00000269,2,122
00.0000026b,1,0
00.0000027b,2,92
00.0000027d,1,0
00.0000027f,0,-61
00.00000290,2,183
00.00000292,1,0
00.000002a3,0,0
00.000002a5,2,92
00.000002a7,1,0
00.000002bd,2,122
00.000002bf,1,0
00.000002c1,0,-61
00.000002c2,1,0
00.000002d2,2,183
00.000002d4,1,0
00.000002df,0,0
00.000002ea,2,122
00.000002ec,1,0
00.000002ff,2,92
00.00000300,0,-61
00.00000301,1,0
00.00000317,2,214
00.00000319,1,0
00.0000032f,2,122
00.00000331,1,0
00.0000033c,0,0
00.00000344,2,92
00.00000346,1,0
00.00000359,2,122
00.0000035b,1,0
00.00000371,2,122
00.00000373,1,0
00.0000037e,0,0
00.00000386,2,92
00.00000388,1,0
00.0000039b,2,122
00.0000039d,1,0
00.0000039f,0,-61
,,122
,,183
,,275
,,31
,,31
,,31
,,-183
,,214
,,-214
,,244
,,-92
,,0
,,214
,,-92
,,0
,,214
,,-92
,,214
,,-92
,,0
,,183
,,-92
,,0
,,214
,,-92
,,0
,,214
,,-92
,,214
,,-92
,,0
,,214
,,-92
,,0
,,0
,,214
,,-92
,,0
,,183
,,-61
,,122
,,0
,,0
,,122
,,0
,,0
,,122
,,0
,,92
,,0
,,0
,,153
,,-61
,,153
,,0
,,92
,,-31
,,0
,,122
,,0
,,122
,,-61
,,0
,,214
,,0
,,0
,,92
,,0
,,0
,,122
,,0
,,122
,,0
,,-61
,,183
,,0
,,0
,,92
,,0
,,92
,,0
,,0
,,122
,,0
,,0
,,122
,,0
,,122
,,0
,,0
,,0
,,122
,,0
,,0
,,122
,,0
,,0
,,122
,,0
,,122
,,122
,,183
,,122
,,214
,,122
,,0
,,275
,,61
,,61
,,-183
,,214
,,31
,,-183
,,61
,,214
,,-92
,,0
,,183
,,-92
,,214
,,-92
,,0
,,61
,,183
,,-122
,,0
,,214
,,-92
,,214
,,-92
,,0
,,214
,,-92
,,214
,,-92
,,0
,,183
,,-92
,,214
,,-92
,,183
,,-61
,,0
,,183
,,-61
,,122
,,0
,,0
,,0
,,122
,,0
,,0
,,122
,,0
,,122
,,0
,,122
,,0
,,122
,,0
,,92
,,0
,,-61
,,183
,,0
,,0
,,92
,,0
,,122
,,-61
,,0
,,183
,,0
,,-61
,,183
,,0
,,0
,,122
,,0
,,0
,,122
,,0
,,0
,,122
,,0
,,122
,,0
,,-61
,,183
,,-31
,,0
,,122
,,0
,,122
,,0
,,0
,,122
,,0
,,92
,,-61
,,0
,,183
,,0
,,122
,,0
,,0
,,122
,,0
,,0
,,122
,,0
,,122
,,-61
,,0
,,183
,,0
,,0
,,92
,,0
,,122
,,0
,,122
,,0
,,0
,,122
,,0
,,92
,,-61
,,0
,,214
,,0
,,-61
,,183
,,-61
,,0
,,183
,,-31
,,92
,,-61
,,0
,,214
,,0
,,-61
,,183
,,0
,,0
,,92
,,0
,,0
,,122
,,0
,,122
,,0
,,-61
,,183
,,0
,,0
,,92
,,0
,,122
,,0
,,-61
,,183
,,0
,,0
,,92
,,0
,,122
,,0
,,0
,,122
,,0
,,0
,,122
,,0
,,122
,,0
,,-61
,,183
,,0
,,0
,,92
,,0
,,0
,,122
,,0
,,122
,,-61
,,0
,,214
,,-61
,,0
,,183
,,0
,,92
,,0
,,-61
,,183
,,0
,,0
,,122
,,0
,,0
,,92
,,0
,,122
,,0
,,0
,,92
,,0
,,0
,,122
,,0
,,0
,,122
,,0
,,122
,,0
,,0
,,122
,,0
,,0
,,92
,,0
,,122
,,-61
,,0
,,183
,,0
,,0
,,92
,,0
,,0
,,122
,,0
,,122
,,0
,,-61
,,183
,,0
,,0
,,122
,,0
,,92
,,0
,,-61
,,61
,,92
,,0
,,0
,,0
,,183
,,-61
,,122
,,0
,,122
,,0
,,0
,,122
,,0
,,122
,,0
,,122
,,-61
,,0
,,183
,,0
,,92
,,0
,,122
,,0
,,122
,,-61
,,0
,,214
,,0
,,-61
,,183
,,0
,,0
,,183
,,-183
,,275
,,-122
,,-31
,,305
,,-183
,,0
,,305
,,-183
,,61
,,214
,,-153
,,275
,,-183
,,0
,,305
,,-183
,,305
,,-183
,,-31
,,305
,,-153
,,0
,,275
,,-183
,,275
,,-122
,,-31
,,275
,,-153
,,305
,,-183
,,61
,,214
,,-183
,,305
,,-183
,,0
,,305
,,-183
,,0
,,305
,,-183
,,275
,,-183
,,0
,,275
,,-153
,,61
,,214
,,-183
,,92
,,214
,,-153
,,275
,,-122
,,-31
,,275
,,-183
,,61
,,214
,,-153
,,275
,,-153
,,0
,,275
,,-183
,,0
,,275
,,-153
,,275
,,-122
,,-61
,,305
,,-183
,,61
,,214
,,-153
,,92
,,214
,,-183
,,275
,,-122
,,-31
,,275
,,-183
,,61
,,214
,,-153
,,305
,,-122
,,-61
,,275
,,-153
,,0
,,275
,,-183
,,92
,,183
,,-153
,,305
,,-183
,,0
,,275
,,-153
,,0
,,275
,,-153
,,61
,,214
,,-153
,,275
,,-183
,,0
,,275
,,-153
,,305
,,-183
,,61
,,214
,,-153
,,275
,,-183
,,0
,,275
,,-153
,,61
,,214
,,-153
,,275
,,-183
,,0
,,305
,,-183
,,61
,,214
,,-153
,,275
,,-122
,,-61
,,305
,,-183
,,0
,,275
,,-153
,,61
,,214
,,-153
,,61
,,214
,,-183
,,0
,,275
,,-153
,,61
,,214
,,-183
,,92
,,214
,,-183
,,275
,,-153
,,0
,,275
,,-153
,,61
,,214
,,-183
,,275
,,-153
,,0
,,275
,,-183
,,275
,,-122
,,-31
,,305
,,-183
,,0
,,275
,,-153
,,61
,,214
,,-183
,,92
,,214
,,-183
,,305
,,-183
,,61
,,214
,,-153
,,92
,,214
,,0
,,-214
,,0
,,305
,,-183
,,61
,,214
,,-153
,,61
,,214
,,-153
,,275
,,-122
,,-61
,,275
,,-153
,,61
,,214
,,-153
,,92
,,183
,,-153
,,275
,,-153
,,0
,,275
,,-153
,,61
,,214
,,-183
,,305
,,-183
,,0
,,305
,,-183
,,61
,,244
,,-183
,,275
,,-122
,,-31
,,275
,,-153
,,0
,,275
,,-183
,,61
,,214
,,-153
,,305
,,-183
,,0
,,275
,,-183
,,92
,,183
,,-153
,,275
,,-183
,,61
,,214
,,-153
,,275
,,-122
,,-61
,,305
,,-183
,,61
,,214
,,-153
,,92
,,214
,,-183
,,275
,,-153
,,0
,,305
,,-183
,,61
,,214
,,-153
,,275
,,-122
,,-31
